Time,Temperature,Humidity
2020-10-04 00:27:18,22.18,63.68
2020-10-04 00:17:18,22.19,63.76
2020-10-04 00:07:18,22.19,63.83
2020-10-03 23:57:18,22.20,63.91
2020-10-03 23:47:18,22.20,63.98
2020-10-03 23:37:18,22.21,64.06
2020-10-03 23:27:18,22.21,64.13
2020-10-03 23:17:18,22.22,64.21
2020-10-03 23:07:18,22.22,64.28
2020-10-03 22:57:18,22.23,64.22
2020-10-03 22:47:18,22.24,64.26
2020-10-03 22:37:18,22.25,64.30
2020-10-03 22:27:18,22.25,64.34
2020-10-03 22:17:18,22.26,64.38
2020-10-03 22:07:18,22.27,64.42
2020-10-03 21:57:18,22.27,64.46
2020-10-03 21:47:18,22.28,64.50
2020-10-03 21:37:18,22.29,64.54
2020-10-03 21:27:18,22.29,64.58
2020-10-03 21:17:18,22.28,64.56
2020-10-03 21:07:18,22.29,64.68
2020-10-03 20:57:18,22.30,64.79
2020-10-03 20:47:18,22.30,64.91
2020-10-03 20:37:18,22.31,65.02
2020-10-03 20:27:18,22.31,65.14
2020-10-03 20:17:18,22.32,65.25
2020-10-03 20:07:18,22.32,65.37
2020-10-03 19:57:18,22.33,65.48
2020-10-03 19:47:18,22.33,65.59
2020-10-03 19:37:18,22.33,65.51
2020-10-03 19:27:18,22.34,65.64
2020-10-03 19:17:18,22.35,65.76
2020-10-03 19:07:18,22.35,65.88
2020-10-03 18:57:18,22.36,66.01
2020-10-03 18:47:18,22.36,66.13
2020-10-03 18:37:18,22.37,66.25
2020-10-03 18:27:18,22.37,66.38
2020-10-03 18:17:18,22.38,66.50
2020-10-03 18:07:18,22.38,66.62
2020-10-03 17:57:18,22.39,66.69
2020-10-03 17:47:18,22.38,66.75
2020-10-03 17:37:18,22.37,66.81
2020-10-03 17:27:18,22.36,66.87
2020-10-03 17:17:18,22.35,66.93
2020-10-03 17:07:18,22.34,66.98
2020-10-03 16:57:18,22.33,67.04
2020-10-03 16:47:18,22.32,67.10
2020-10-03 16:37:18,22.31,67.16
2020-10-03 16:27:18,22.30,67.21
2020-10-03 16:17:18,22.30,66.36
2020-10-03 16:07:18,22.31,66.19
2020-10-03 15:57:18,22.32,66.02
2020-10-03 15:47:18,22.33,65.86
2020-10-03 15:37:18,22.34,65.69
2020-10-03 15:27:18,22.35,65.52
2020-10-03 15:17:18,22.36,65.36
2020-10-03 15:07:18,22.37,65.19
2020-10-03 14:57:18,22.38,65.02
2020-10-03 14:47:18,22.39,64.86
2020-10-03 14:37:18,22.38,64.74
2020-10-03 14:27:18,22.37,64.69
2020-10-03 14:17:18,22.36,64.64
2020-10-03 14:07:18,22.35,64.60
2020-10-03 13:57:18,22.34,64.55
2020-10-03 13:47:18,22.33,64.50
2020-10-03 13:37:18,22.32,64.46
2020-10-03 13:27:18,22.31,64.41
2020-10-03 13:17:18,22.30,64.36
2020-10-03 13:07:18,22.30,64.32
2020-10-03 12:57:18,22.31,64.38
2020-10-03 12:47:18,22.32,64.36
2020-10-03 12:37:18,22.32,64.35
2020-10-03 12:27:18,22.33,64.34
2020-10-03 12:17:18,22.33,64.33
2020-10-03 12:07:18,22.34,64.31
2020-10-03 11:57:18,22.34,64.30
2020-10-03 11:47:18,22.35,64.29
2020-10-03 11:37:18,22.35,64.28
2020-10-03 11:27:18,22.35,64.27
2020-10-03 11:17:18,22.35,64.20
2020-10-03 11:07:18,22.36,64.25
2020-10-03 10:57:18,22.36,64.29
2020-10-03 10:47:18,22.36,64.33
2020-10-03 10:37:18,22.37,64.37
2020-10-03 10:27:18,22.37,64.42
2020-10-03 10:17:18,22.37,64.46
2020-10-03 10:07:18,22.38,64.50
2020-10-03 09:57:18,22.38,64.54
2020-10-03 09:47:18,22.38,64.58
2020-10-03 09:37:18,22.39,64.50
2020-10-03 09:27:18,22.38,64.53
2020-10-03 09:17:18,22.37,64.55
2020-10-03 09:07:18,22.36,64.57
2020-10-03 08:57:18,22.35,64.59
2020-10-03 08:47:18,22.34,64.61
2020-10-03 08:37:18,22.33,64.63
2020-10-03 08:27:18,22.32,64.65
2020-10-03 08:17:18,22.31,64.67
2020-10-03 08:07:18,22.30,64.69
2020-10-03 07:57:18,22.32,64.58
2020-10-03 07:47:18,22.33,64.56
2020-10-03 07:37:18,22.33,64.54
2020-10-03 07:27:18,22.34,64.52
2020-10-03 07:17:18,22.34,64.50
2020-10-03 07:07:18,22.35,64.48
2020-10-03 06:57:18,22.35,64.46
2020-10-03 06:47:18,22.36,64.44
2020-10-03 06:37:18,22.36,64.42
2020-10-03 06:27:18,22.36,64.41
2020-10-03 06:17:18,22.39,64.46
2020-10-03 06:07:18,22.38,64.42
2020-10-03 05:57:18,22.38,64.39
2020-10-03 05:47:18,22.37,64.36
2020-10-03 05:37:18,22.37,64.33
2020-10-03 05:27:18,22.36,64.30
2020-10-03 05:17:18,22.36,64.27
2020-10-03 05:07:18,22.35,64.24
2020-10-03 04:57:18,22.35,64.21
2020-10-03 04:47:18,22.35,64.18
2020-10-03 04:37:18,22.32,63.64
2020-10-03 04:27:18,22.33,63.68
2020-10-03 04:17:18,22.34,63.72
2020-10-03 04:07:18,22.34,63.76
2020-10-03 03:57:18,22.35,63.80
2020-10-03 03:47:18,22.35,63.84
2020-10-03 03:37:18,22.36,63.88
2020-10-03 03:27:18,22.36,63.92
2020-10-03 03:17:18,22.37,63.96
2020-10-03 03:07:18,22.37,64.00
2020-10-03 02:57:18,22.39,63.99
2020-10-03 02:47:18,22.38,63.97
2020-10-03 02:37:18,22.37,63.95
2020-10-03 02:27:18,22.36,63.93
2020-10-03 02:17:18,22.35,63.91
2020-10-03 02:07:18,22.34,63.90
2020-10-03 01:57:18,22.33,63.88
2020-10-03 01:47:18,22.32,63.86
2020-10-03 01:37:18,22.31,63.84
2020-10-03 01:27:18,22.30,63.83
2020-10-03 01:17:18,22.30,63.84
2020-10-03 01:07:18,22.31,63.71
2020-10-03 00:57:18,22.31,63.59
2020-10-03 00:47:18,22.32,63.47
2020-10-03 00:37:18,22.32,63.35
2020-10-03 00:27:18,22.33,63.22
2020-10-03 00:17:18,22.33,63.10
2020-10-03 00:07:18,22.34,62.98
2020-10-02 23:57:18,22.34,62.86
2020-10-02 23:47:18,22.34,62.74
2020-10-02 23:37:18,22.34,63.21
2020-10-02 23:27:18,22.33,63.45
2020-10-02 23:17:18,22.33,63.69
2020-10-02 23:07:18,22.33,63.93
2020-10-02 22:57:18,22.32,64.17
2020-10-02 22:47:18,22.32,64.40
2020-10-02 22:37:18,22.32,64.64
2020-10-02 22:27:18,22.31,64.88
2020-10-02 22:17:18,22.31,65.12
2020-10-02 22:07:18,22.31,65.35
2020-10-02 21:57:18,22.30,66.09
2020-10-02 21:47:18,22.31,65.99
2020-10-02 21:37:18,22.32,65.90
2020-10-02 21:27:18,22.33,65.80
2020-10-02 21:17:18,22.34,65.71
2020-10-02 21:07:18,22.34,65.61
2020-10-02 20:57:18,22.35,65.52
2020-10-02 20:47:18,22.36,65.42
2020-10-02 20:37:18,22.37,65.33
